Location,Name,People_reached,Posts_edited,Upvotes,answer_votes,downvotes,helpful_tags,question_vote,this_month,user_id,votes_cast
Not Available,Adi Fuchs,14k,0,,,,0,,,12607229.0,12
Not Available,daniveler,24,0,,,,0,,,21064433.0,0
"Chennai, Tamil Nadu, India",BatScream,1.9m,105,,,,25,,,1617024.0,"1,979"
Spain,J. Cake,27k,0,,,,0,,,10708260.0,103
"Southampton, UK",MDMeany,2k,0,,,,0,,,10814600.0,0
Not Available,Flyingkiwi,127k,0,,,,1,,,958472.0,250
Not Available,user23405646,20,0,,,,0,,,23405646.0,0
Not Available,deniz,16k,0,,,,0,,,13843026.0,0
Not Available,Eric G,15k,0,,,,0,,,18091372.0,38
Not Available,jeanpaul62,1.2m,1,,,,0,,,1935318.0,173
"North Carolina, USA",xTwisteDx,73k,27,,,,48,,,12417531.0,231
Not Available,floyd434,2k,0,,,,0,,,13572100.0,0
Brazil,Galdino,821,0,,,,0,,,13290981.0,0
Not Available,Ichthys King,342,0,,,,0,,,12676490.0,5
"Baltimore, MD, United States",Montrell Jubilee,18k,0,,,,0,,,6217429.0,0
Not Available,Gollo,279,0,,,,0,,,18298024.0,2
"Indianapolis, IN, USA",klewis,2.0m,9,,,,1,,,957186.0,"4,882"
Not Available,CVE314,34,0,,,,0,,,21504849.0,0
Not Available,Ádám Molnár,418,0,,,,0,,,14346951.0,0
secret,pheromix,2.5m,3,,,,9,,,1045704.0,"2,020"
Not Available,Gerald,38k,0,,,,0,,,3906329.0,55
"Guadalajara, Mexico",Leo,194k,17,,,,95,,,2171276.0,890
Not Available,Subbu Venkat,0,0,,,,0,,,2803700.0,0
"Berlin, Germany",Wolf-Tech,128k,0,,,,0,,,440841.0,288
United States,Aemal Shirzai,5k,0,,,,0,,,9874823.0,8
Not Available,Hugo Oliveira,847,0,,,,0,,,21133974.0,4
Not Available,shiny,1.4m,47,,,,16,,,5420677.0,"2,018"
Not Available,Shreshta,27,0,,,,0,,,23403388.0,0
Not Available,Steve,761k,0,,,,1,,,241673.0,164
Costa Rica,Cessna,102k,0,,,,0,,,3203789.0,23
Not Available,WJ.Lesster,3k,0,,,,0,,,11949397.0,0
Not Available,Ifra,69,0,,,,0,,,20924788.0,0
France,user3049922,40k,0,,,,0,,,3049922.0,0
Not Available,user590849,2.3m,1,,,,0,,,590849.0,99
Not Available,Holger,2k,3,,,,0,,,22768315.0,14
Not Available,LinkFalcon0921,85,0,,,,0,,,17786326.0,0
Not Available,lohith devapatla,5k,0,,,,0,,,10578698.0,2
"Lynchburg, VA",SGT Grumpy Pants,1.6m,8,,,,0,,,715608.0,"2,498"
Not Available,Pernot Benjamin,18k,0,,,,0,,,13146591.0,0
"Seattle, WA, USA",Robert Kajic,2.7m,2,,,,2,,,289219.0,93
"Oslo, Norway",Nilzor,1.9m,5,,,,2,,,507339.0,506
India,Bharat Pahalwani,2.4m,1,,,,188,,,1288120.0,"1,376"
Not Available,Akshitha Jain,263,0,,,,0,,,23404942.0,0
Indonesia,Vladimir Alinsky,6k,0,,,,0,,,12442389.0,44
Not Available,Random Guy,69,0,,,,0,,,23306636.0,0
Not Available,Oam Psy,1.5m,0,,,,3,,,2244072.0,456
"Kyiv city, Ukraine",atlascoder,1.0m,0,,,,0,,,4415902.0,50
India,Jeevan ebi,3k,64,,,,29,,,15019772.0,98
"nowheresville, new zeland",stupid_question,103,0,,,,0,,,16450379.0,0
Not Available,user395734,949k,0,,,,0,,,395734.0,0
Not Available,Tatiana,72,0,,,,0,,,23286849.0,1
Not Available,Harsh Vardhan,718,0,,,,0,,,12630057.0,0
Not Available,Abhishek Bajpai,585,0,,,,0,,,16421194.0,0
Not Available,Kaja,933k,0,,,,0,,,2107488.0,405
"Greenacre NSW, Australia",Fathi,9k,0,,,,0,,,12254839.0,0
Not Available,Mark McGown,92k,0,,,,0,,,9682236.0,18
Not Available,folow,42k,0,,,,0,,,8288842.0,13
"Lviv, Ukraine",BohdanZPM,87k,0,,,,0,,,5416142.0,40
Switzerland,Samuel,27,0,,,,0,,,15462078.0,0
Not Available,JKTAff,15,0,,,,0,,,23405685.0,0
Not Available,Sukh,62k,0,,,,0,,,1729649.0,0
Not Available,MikeA,4k,0,,,,0,,,11954204.0,0
France,Substitut,224k,0,,,,0,,,1354121.0,9
Not Available,SOeh,318k,0,,,,0,,,10582547.0,67
Not Available,bdk0172,830,0,,,,0,,,6079048.0,0
Not Available,Alex Khan,47,0,,,,0,,,23400242.0,0
Switzerland,Jeanot Zubler,61k,37,,,,147,,,14906662.0,505
Not Available,Robit010,11k,0,,,,0,,,8921510.0,9
Not Available,eko,44,0,,,,0,,,5143086.0,0
Not Available,Tuaris,8k,0,,,,0,,,2053750.0,12
Not Available,Anders K,13k,0,,,,0,,,12052417.0,0
Not Available,CKuttan,993,0,,,,0,,,19415502.0,0
Not Available,Djole Pi,16k,0,,,,0,,,1320971.0,10
Not Available,Oleh Sikirsyi,48,0,,,,0,,,16289909.0,0
Not Available,d1596,150k,0,,,,0,,,10682528.0,34
Not Available,MariaT,392,0,,,,0,,,22092072.0,3
Not Available,kungfu_king_betty,2k,0,,,,0,,,5120925.0,16
Sri Lanka,dilan.sp,9k,0,,,,0,,,1744489.0,4
Not Available,eetawil,225k,0,,,,0,,,2662743.0,100
Not Available,Rodario,2k,0,,,,0,,,9734649.0,3
"New York, NY, USA",drewwyatt,718k,0,,,,3,,,967405.0,371
Not Available,Grigory Slepak,155,0,,,,0,,,9123113.0,0
Not Available,john doe,349k,2,,,,1,,,4114372.0,299
Thailand,vernomcrp,457k,0,,,,0,,,188912.0,70
Sweden,slysid,998k,2,,,,0,,,1949081.0,62
Not Available,Andyally,64k,0,,,,0,,,9186426.0,43
Not Available,nikosgig,44,0,,,,0,,,16561218.0,0
Nigeria,Horlaitan15,127,0,,,,0,,,13949685.0,0
"Stockholm, Sweden",ntoonio,234k,11,,,,0,,,3165622.0,82
Not Available,Ronald,311k,0,,,,0,,,646637.0,161
Not Available,Pierre,63k,1,,,,0,,,4877514.0,114
Not Available,skadoosh,57k,9,,,,0,,,1765505.0,598
Not Available,Drspl,68,0,,,,0,,,23405286.0,0
Not Available,Ondřej Pavelka,43,0,,,,0,,,23405458.0,0
"New York, NY, USA",Encipher,121k,1,,,,0,,,9357484.0,209
Not Available,flix,281k,4,,,,3,,,8943429.0,122
Not Available,newbiedev,236k,4,,,,5,,,14671456.0,555
Not Available,RobisonSantos,192k,0,,,,0,,,1082400.0,47
"Nefteyugansk, Россия",reeqo,891,0,,,,0,,,13776289.0,0
Not Available,terror,8k,0,,,,0,,,3049993.0,10
Not Available,AceBear,80k,0,,,,0,,,981848.0,6
Not Available,Jessel Aquing,222,0,,,,0,,,14644721.0,0
Not Available,Tiago Pereira,5k,0,,,,0,,,11766415.0,0
Not Available,arichikari,31,0,,,,0,,,17319656.0,0
"San Francisco, CA",Darren S,27k,0,,,,0,,,747810.0,0
Not Available,James Fabian,57,0,,,,0,,,23363681.0,0
"Mallorca, Spain",Some random IT boy,534k,19,,,,32,,,9248718.0,"1,066"
Not Available,lobafox,872,0,,,,0,,,19312011.0,2
Not Available,dredbound,355k,0,,,,0,,,3948658.0,33
Not Available,mamol,24k,0,,,,0,,,8269446.0,18
Not Available,cppstudy,40k,0,,,,1,,,6023926.0,30
Not Available,Loveyatri,324,0,,,,0,,,21445166.0,0
USA,eib21,28,0,,,,0,,,11072094.0,0
Not Available,papaphua,65,0,,,,0,,,19481378.0,0
Not Available,Toutsos,70k,0,,,,0,,,8223156.0,4
Not Available,FrancMo,192k,1,,,,1,,,3244618.0,159
Lithuania,simkusr,112k,3,,,,12,,,8843270.0,"1,619"
Not Available,dinosow,28,0,,,,0,,,20155525.0,0
Not Available,user1775746,12k,0,,,,0,,,1775746.0,0
Not Available,fredsarm,455,0,,,,0,,,21328439.0,0
Ratnanagar 44200,Bishal Paudel,454,0,,,,0,,,11771700.0,0
Not Available,Gerome Pojas,410,0,,,,0,,,13898149.0,0
Not Available,Christasber,18,0,,,,0,,,23405583.0,0
Not Available,Michael,1k,0,,,,0,,,19777834.0,3
Not Available,Florian Mac Langlade,285k,0,,,,0,,,1753002.0,234
Not Available,Morkus,65k,0,,,,0,,,5120843.0,16
Not Available,KaanDev,6k,0,,,,0,,,9557430.0,0
Not Available,eroc83,6k,0,,,,0,,,9825710.0,0
Not Available,xuhdev,1.1m,69,,,,7,,,1150462.0,842
Not Available,Mat,62,0,,,,0,,,23401359.0,0
"Newcastle upon Tyne, United Kingdom",MBrann,46k,0,,,,0,,,6190232.0,31
Not Available,sshakya,4k,0,,,,0,,,19035176.0,2
Not Available,comediann,506,0,,,,0,,,22407560.0,5
Not Available,Ahmet Hakan Yıldırım,375,0,,,,0,,,23404162.0,0
"East London, South Africa",crispengari,5.5m,12,,,,0,,,12925831.0,294
"Paris, France",Driss NEJJAR,94k,18,,,,0,,,7209979.0,184
Vienna,MichaelW,87k,0,,,,0,,,2803777.0,58
Not Available,newbie1,34k,0,,,,0,,,13708411.0,0
"Edinburgh, UK",supertux,292k,1,,,,0,,,8692914.0,291
Berlin,almisoft,882k,0,,,,0,,,909406.0,62
Not Available,Aku-Ville Lehtimäki,7k,0,,,,0,,,14636729.0,48
Not Available,Veda R,22,0,,,,0,,,17774856.0,0
"Offenbach, Germany",OhMad,1.2m,3,,,,0,,,7190575.0,75
Indonesia,Billy Adelphia,131k,0,,,,0,,,6739605.0,37
Italy,gianpaolo,99k,0,,,,1,,,540370.0,369
Not Available,Fooberman,14k,0,,,,0,,,1204278.0,5
"Bangalore, Karnataka, India",Ashish Pratap,42k,0,,,,0,,,6172022.0,49
Not Available,AMIT BISHT,10k,0,,,,0,,,6816356.0,14
Latvia,Jānis Kļaviņš,734,0,,,,0,,,14534414.0,4
Not Available,Ultimate warrior,153,0,,,,0,,,10432094.0,0
Not Available,Doh,2k,0,,,,0,,,16181437.0,0
"England, United Kingdom",cdmh,305k,18,,,,2,,,198083.0,112
Not Available,reshad,441,0,,,,0,,,7225955.0,0
Not Available,Ruslan Pylypiuk,13k,0,,,,0,,,20566782.0,0
"Rochester, NY, USA",Michael Mior,6.5m,526,,,,59,,,123695.0,"1,894"
Not Available,Diksha Rajput,15,0,,,,0,,,23405563.0,0
Singapore,Chris Aung,1.8m,2,,,,0,,,2180836.0,152
Not Available,dev,761,0,,,,0,,,22335684.0,8
Not Available,user35131,35k,0,,,,0,,,8107489.0,173
Not Available,PandemoniumSyndicate,422k,0,,,,0,,,841721.0,80
Not Available,Xerxes Asimov,420,0,,,,0,,,6004106.0,0
"İstanbul, Türkiye",Yigit Kaya,4k,0,,,,0,,,11906151.0,5
"Sofia, Bulgaria",Zhivko Angelov,11k,0,,,,0,,,8226831.0,0
Not Available,Hanif,2k,0,,,,0,,,14887094.0,3
Not Available,Hitesh Somani,165k,0,,,,0,,,5687866.0,14
"New York, United States",movac,194k,0,,,,0,,,3812918.0,66
Not Available,Lion,26,0,,,,0,,,21092990.0,0
Not Available,Luigi D.,7k,0,,,,0,,,2587422.0,26
Not Available,user20780,299,0,,,,0,,,21072568.0,3
Not Available,YohanRoth,300k,0,,,,0,,,3849781.0,180
Not Available,bls,15k,0,,,,0,,,9322983.0,14
Not Available,user23405502,10,0,,,,0,,,23405502.0,0
Not Available,Kousalya Devi,923,0,,,,0,,,11514615.0,0
Not Available,EB3112,2k,0,,,,0,,,15917305.0,13
Not Available,Friday,2k,0,,,,0,,,8618997.0,0
Not Available,A-lo,26,0,,,,0,,,23372349.0,0
Not Available,René Hermann,33,0,,,,0,,,23405247.0,0
Not Available,Vaibhava Srivastava,2k,0,,,,0,,,4883809.0,0
Not Available,Kristian,63,0,,,,0,,,23405313.0,0
Not Available,Oleksandr Shybystyi,70k,0,,,,0,,,4647743.0,11
Not Available,Jim Barlow,11,0,,,,0,,,23403060.0,0
Not Available,darkace,105k,0,,,,0,,,2426524.0,284
Not Available,Milodupipo,7k,0,,,,0,,,4818645.0,9
Not Available,Andre,925,0,,,,0,,,14999464.0,0
Not Available,GNF,8k,0,,,,0,,,2467349.0,41
"Moratuwa, Sri Lanka",Mishen Thakshana,154k,1,,,,1,,,19317939.0,704
Not Available,anutter,20k,1,,,,0,,,10719748.0,158
Not Available,ilovewt,83k,0,,,,0,,,10570372.0,95
"Sweden Way, Richmond, British Columbia, Kanada",majed,6k,0,,,,0,,,3187040.0,5
"Portland, OR, USA",Amanda_Panda,212k,0,,,,0,,,1144431.0,30
Not Available,Rachit Anand,272,0,,,,0,,,22851350.0,1
Michigan,Mark Good,639k,9,,,,0,,,97276.0,"1,280"
"Aberdeen, Scotland, UK",Ark Lomas,11k,0,,,,0,,,13475263.0,11
Not Available,Emma Lim,23k,1,,,,0,,,15393715.0,13
Not Available,Pei-Wei Sun,867,0,,,,0,,,19166677.0,1
"Barcelona, Spain",Moseleyi,298k,48,,,,8,,,1548839.0,158
Not Available,Metjus Hoxha,2k,0,,,,0,,,16576175.0,3
Not Available,Nelssen,232k,0,,,,0,,,4742357.0,147
Not Available,Argentina,376k,0,,,,0,,,3968607.0,328
Not Available,Vivian,85,0,,,,0,,,21905741.0,0
"Clifton Park, NY",Chris Nelson,300k,0,,,,0,,,7685.0,113
Not Available,John Smith,1.6m,0,,,,0,,,1085885.0,36
Not Available,just Impartial,949,0,,,,0,,,15738279.0,8
"Huntsville, AL, United States",John Cummings,160k,143,,,,0,,,1518546.0,"4,503"
Not Available,SBarkovskis,12k,0,,,,0,,,7283900.0,14
Not Available,Mathew,31k,1,,,,0,,,21948057.0,32
Not Available,thunder_trek,56,0,,,,0,,,23405450.0,0
Not Available,Paweł Pilch,682,0,,,,0,,,10109721.0,0
Not Available,Luisa Ka,2k,0,,,,0,,,11475116.0,1
Not Available,art_hq,19k,0,,,,0,,,11114970.0,217
Not Available,závislost,558,0,,,,0,,,22946665.0,0
Uzbekistan,Erkinjon,82,0,,,,0,,,17972720.0,0
Not Available,but28,5k,0,,,,0,,,10640437.0,0
Not Available,Denis,93,0,,,,0,,,22735222.0,0
Bangalore,Ravneet Kaur,58,0,,,,0,,,14333348.0,0
Not Available,Sar99,3k,0,,,,0,,,15369514.0,6
Not Available,Pratima,20,0,,,,0,,,23405332.0,0
Not Available,Muhammad Saad,23,0,,,,0,,,23403861.0,0
Not Available,Adrian Denner,8k,0,,,,0,,,16358647.0,0
Not Available,user23398440,35,0,,,,0,,,23398440.0,0
"Colombo, Sri Lanka",ThisaruG,198k,343,,,,471,,,3615862.0,"2,329"
"San Diego, CA, USA",Alejandro Harrison,4k,0,,,,0,,,10689045.0,0
"Goiânia, GO, Brasil",Caio Alfonso,8k,0,,,,0,,,12327015.0,13
"New York, NY, USA",James Hubert,22k,0,,,,0,,,6179011.0,772
Not Available,Izaya,138k,3,,,,0,,,9962824.0,615
Not Available,Engle,174,1,,,,0,,,7213422.0,2
Not Available,Unicorn,14k,0,,,,0,,,16047726.0,0
Not Available,giorgionocera,523k,0,,,,0,,,3842100.0,51
Not Available,Lucas IP,12,0,,,,0,,,23405442.0,0
"Cape Town, South Africa",Paul Watson,19k,0,,,,0,,,484337.0,989
United Kingdom,jezmck,172k,11,,,,38,,,134189.0,"1,024"
Not Available,Bibekjit Singh,21k,0,,,,0,,,14540257.0,7
Not Available,Lugalkiennn,217,0,,,,0,,,22808177.0,0
Germany,OliverHennhoefer,29k,16,,,,100,,,16420204.0,"2,069"
Not Available,john mich,284k,0,,,,0,,,9043263.0,104
Not Available,MITHU,270k,5,,,,1,,,7180194.0,289
Not Available,JohnKoz,50k,0,,,,0,,,3368670.0,166
Not Available,Brettaten,210,0,,,,0,,,19462775.0,0
Not Available,Josh,1.6m,5,,,,3,,,2332251.0,67
Not Available,user16798185,12k,0,,,,0,,,16798185.0,62
Not Available,Keeay,92,0,,,,0,,,18596649.0,0
Not Available,john saju kallachiyil,40,0,,,,0,,,23405050.0,0
Not Available,neoskop,26,0,,,,0,,,23403235.0,0
Vietnam,Nam Vu,1.2m,58,,,,2,,,617801.0,403
Gurgaon,Payal Bansal,72k,0,,,,1,,,3689942.0,24
Not Available,wqiu,51k,0,,,,0,,,4487749.0,0
"Tema, Ghana",code46,9k,0,,,,0,,,312926.0,42
Not Available,zazoupile,14k,0,,,,0,,,4526709.0,75
"Budapest, Magyarország",Cooty,15k,0,,,,0,,,6340282.0,3
Not Available,user555,1k,0,,,,0,,,7609317.0,0
"Little Rock, AR",ARLibertarian,146k,1,,,,0,,,653969.0,134
Not Available,GooMee,9k,0,,,,0,,,16776088.0,0
Not Available,Wei,62k,0,,,,0,,,10417592.0,9
India,dinesh t,9k,0,,,,0,,,11415694.0,0
"Bangalore, Karnataka, India",pYadu,3k,0,,,,0,,,7483265.0,1
Not Available,Kaliyug Antagonist,1.3m,1,,,,0,,,1106134.0,310
Not Available,gene b.,3.2m,4,,,,1,,,1005607.0,868
"Pune, Maharashtra, India",Vikas,156k,0,,,,0,,,7534266.0,35
Germany,ali,133k,2,,,,0,,,367391.0,"2,556"
Not Available,Oscar,279k,5,,,,0,,,407700.0,547
Not Available,Wasyn,1k,0,,,,0,,,19995009.0,3
Not Available,Berxian,23,0,,,,0,,,23405246.0,0
Not Available,johanna_goes_to_work,8,0,,,,0,,,23405416.0,0
Not Available,mohamed souilmi,15k,0,,,,0,,,11122271.0,1
Israel,Sagi Mann,430k,1,,,,0,,,389023.0,"1,013"
Singapore,jolly,1.7m,1,,,,0,,,2583495.0,72
Not Available,MAKS,84,0,,,,0,,,23405140.0,0
Slovakia,absolutty,55,0,,,,0,,,12514204.0,0
"Manila, Philippines",Jarobe Bernardo,12k,0,,,,0,,,4027853.0,16
Not Available,justhumm,1k,0,,,,0,,,9612904.0,0
Not Available,Coder,29,0,,,,0,,,22839169.0,0
Not Available,SA_,23,0,,,,0,,,22098157.0,0
USA,AJW,320k,1,,,,0,,,3796660.0,281
Not Available,user2846204,68,0,,,,0,,,2846204.0,0
Not Available,MikeF,54k,0,,,,0,,,3170929.0,33
België,Mathias Z,55k,0,,,,0,,,6244665.0,216
Not Available,PP Epic,110,0,,,,0,,,17368849.0,0
Not Available,Hiroku,173,0,,,,0,,,17225120.0,0
Not Available,Sensei,23,0,,,,0,,,19470875.0,0
Not Available,Matthew Michaud,14k,0,,,,0,,,2293288.0,11
Not Available,ChelseaSmile,884,0,,,,0,,,18507566.0,0
"Chennai, India",Sridhar,347k,28,,,,2,,,1806481.0,37
"Dresden, Deutschland",spcial,136k,14,,,,15,,,2492068.0,158
Not Available,idkidkidkidk,31,0,,,,0,,,23405335.0,0
Not Available,Slaycapь,115,0,,,,0,,,23397325.0,0
Not Available,Amit Rintzler,16k,0,,,,0,,,3527516.0,15
Not Available,Andrian,2k,0,,,,0,,,21209760.0,0
Not Available,Tronhammer,14,0,,,,0,,,23281161.0,0
"Tunísia, Tunisie",Saif Eddine Layouni,179,0,,,,0,,,11852111.0,0
Not Available,Dino Dinz,3k,0,,,,0,,,5353890.0,4
"Chelyabinsk, Россия",Shadow4571,88k,0,,,,0,,,10871976.0,13
Not Available,anton_rh,1.9m,8,,,,3,,,5447906.0,"1,733"
Dar es Salaam Tanzania,Andongwisye Mwamengo,28k,0,,,,0,,,11559177.0,102
"Jakarta, Indonesia",rafitio,131k,1,,,,0,,,6305480.0,123
Not Available,hyltonw,14,0,,,,0,,,18775471.0,0
Not Available,shaidyn,4k,0,,,,0,,,7921931.0,3
"Sydney NSW, Australia",Arjun Komath,264k,4,,,,6,,,1954422.0,31
Finland,user_5,82k,0,,,,0,,,5711976.0,23
Not Available,Sherif eldeeb,334k,1,,,,0,,,12577650.0,199
Not Available,Noname frai,42,0,,,,0,,,5771597.0,0
Germany,LinusGeffarth,2.3m,527,,,,140,,,3397217.0,"4,557"
Not Available,Julian Vicente,495,0,,,,0,,,11587849.0,1
Not Available,Jordan Mersha,199,0,,,,0,,,23293999.0,0
Not Available,hud,882k,166,,,,49,,,1216804.0,"2,049"
Not Available,Sha Na,60,0,,,,0,,,22983996.0,0
"Vorarlberg, Österreich",maxbit89,48k,0,,,,2,,,3900723.0,98
Argentina,xvan,592k,13,,,,20,,,1477064.0,613
Not Available,MichaelD,61,0,,,,0,,,4244648.0,0
Netherlands,R2D2,364k,7,,,,0,,,10415047.0,449
Not Available,Souvik Mukherjee,11,0,,,,0,,,22933370.0,0
Not Available,xerez,1k,0,,,,0,,,21021740.0,6
"Bangalore, Karnataka, India",suneel oleti,15k,0,,,,0,,,3929038.0,10
Not Available,Gogi,313k,0,,,,0,,,1356747.0,10
Not Available,Hashir Akbar,114,1,,,,0,,,23392085.0,0
Not Available,Ali Shan,78k,2,,,,0,,,4969058.0,166
Not Available,Randomguy660,3k,0,,,,0,,,18475455.0,12
Not Available,SIJO JOHN,14k,0,,,,0,,,11899769.0,0
Not Available,chaitalipatil,482,0,,,,0,,,6842233.0,0
"Philadelphia, PA",Logan Murphy,593k,44,,,,21,,,1953420.0,443
Not Available,Nishant Patil,25,0,,,,0,,,23405274.0,0
Not Available,Александр Хохлов,37,0,,,,0,,,23371044.0,0
Australia,Deeksy,670k,1,,,,0,,,4640.0,171
Not Available,Sparsity,13k,0,,,,0,,,7075138.0,7
Not Available,Tomáš Kafka,385k,7,,,,1,,,38729.0,742
Not Available,Otrebor,23k,0,,,,0,,,4004409.0,32
"Göteborg, Zweden",Compphys,95,0,,,,0,,,8928663.0,0
Not Available,stomerfull,1k,0,,,,0,,,11247455.0,0
Not Available,Ross Sullivan,20k,0,,,,0,,,6683870.0,24
Not Available,mrks,1.5m,7,,,,10,,,1716669.0,969
Not Available,Remotec,1.7m,2,,,,1,,,169640.0,805
Not Available,user175025,33k,0,,,,1,,,16525263.0,23
United Kingdom,ChrisD,414k,3,,,,4,,,342618.0,451
"Pune, Maharashtra, India",klaus19,14k,0,,,,0,,,4085239.0,12
Not Available,Mykyta iOS,876,0,,,,0,,,22459244.0,17
Not Available,dimes,2k,0,,,,0,,,10130855.0,3
"Kiel, Germany",Andrei Iatsuk,22k,0,,,,0,,,6380624.0,63
Not Available,Bello Shehu,60k,0,,,,0,,,12333389.0,14
Not Available,buhtz,1.3m,456,,,,221,,,4865723.0,"6,509"
Not Available,frubs,514,0,,,,0,,,2105594.0,0
Not Available,frykenvall,3k,0,,,,0,,,3384032.0,1
Not Available,Le Vu Minh Huy,16k,0,,,,0,,,8659134.0,37
Not Available,kcantrel,926,0,,,,0,,,8061983.0,4
Italy,Ido Traini,6k,0,,,,0,,,4178312.0,10
"London, UK",Lukasz G.,10k,0,,,,0,,,7205417.0,18
Not Available,Sameer Khan,40,0,,,,0,,,19572719.0,0
Not Available,Kartik Pawde,162,0,,,,0,,,23276655.0,0
Not Available,nxn,14k,0,,,,0,,,3935269.0,2
Slovakia,Kebechet,986k,3,,,,0,,,6158341.0,"1,486"
Not Available,Digital Ninja,455k,0,,,,0,,,3788043.0,140
Colombia,Paolo Donato Navarro,10k,0,,,,0,,,12541004.0,56
Not Available,David Kubecka,53k,0,,,,0,,,13015027.0,48
Not Available,Pablo,2k,0,,,,0,,,20112693.0,0
Not Available,nour tebbal,261,0,,,,0,,,19960387.0,0
India,Maghil vannan,36k,8,,,,17,,,11373443.0,73
Not Available,The One,242,0,,,,0,,,23297626.0,4
Not Available,S Hornby,6k,0,,,,0,,,8858422.0,3
University of Edinburgh,Joey Eremondi,372k,1,,,,4,,,788337.0,879
Not Available,7Ver7dict7,267,0,,,,0,,,18050490.0,1
Egypt,I'm .py Dev,2k,0,,,,0,,,10073011.0,0
Not Available,Johan Sanjaya,18,0,,,,0,,,16684255.0,0
Not Available,brenzo,40k,0,,,,0,,,6562851.0,12
Not Available,mrkiyak,9k,0,,,,0,,,19433603.0,0
